# OpenMATB scenario generator

# Name: incapacitation
# Date: 26/05/2026 13:09:23


# Block n° 1. Technical load = 5.0 %
0:00:00;track;start
0:00:00;track;targetproportion;0.95
0:00:00;sysmon;start
0:00:00;communications;start
0:00:00;resman;start
0:00:00;resman;tank-a-lossperminute;60
0:00:00;resman;tank-b-lossperminute;60

# Block n° 2. Technical load = 15.6 %
0:01:00;track;targetproportion;0.8444444444444444
0:01:05;sysmon;lights-2-failure;True
0:01:01;sysmon;scales-4-failure;True
0:01:00;resman;tank-a-lossperminute;186
0:01:00;resman;tank-b-lossperminute;186

# Block n° 3. Technical load = 26.1 %
0:02:00;track;targetproportion;0.7388888888888889
0:02:41;sysmon;lights-1-failure;True
0:02:12;sysmon;scales-1-failure;True
0:02:45;communications;radioprompt;own
0:02:00;resman;tank-a-lossperminute;313
0:02:00;resman;tank-b-lossperminute;313

# Block n° 4. Technical load = 36.7 %
0:03:00;track;targetproportion;0.6333333333333333
0:03:13;sysmon;lights-2-failure;True
0:03:41;sysmon;lights-1-failure;True
0:03:02;sysmon;scales-1-failure;True
0:03:42;sysmon;scales-2-failure;True
0:03:37;communications;radioprompt;own
0:03:00;resman;tank-a-lossperminute;439
0:03:00;resman;tank-b-lossperminute;439

# Block n° 5. Technical load = 47.2 %
0:04:00;track;targetproportion;0.5277777777777778
0:04:03;sysmon;lights-1-failure;True
0:04:18;sysmon;lights-1-failure;True
0:04:42;sysmon;lights-2-failure;True
0:04:04;sysmon;scales-2-failure;True
0:04:26;sysmon;scales-1-failure;True
0:04:42;sysmon;scales-4-failure;True
0:04:00;communications;radioprompt;other
0:04:30;communications;radioprompt;own
0:04:00;resman;tank-a-lossperminute;566
0:04:00;resman;tank-b-lossperminute;566

# Block n° 6. Technical load = 57.8 %
0:05:00;track;targetproportion;0.42222222222222217
0:05:15;sysmon;lights-1-failure;True
0:05:29;sysmon;lights-2-failure;True
0:05:38;sysmon;lights-1-failure;True
0:05:48;sysmon;lights-2-failure;True
0:05:02;sysmon;scales-1-failure;True
0:05:23;sysmon;scales-2-failure;True
0:05:34;sysmon;scales-4-failure;True
0:05:52;sysmon;scales-3-failure;True
0:05:11;communications;radioprompt;other
0:05:37;communications;radioprompt;own
0:05:00;resman;tank-a-lossperminute;693
0:05:00;resman;tank-b-lossperminute;693

# Block n° 7. Technical load = 68.3 %
0:06:00;track;targetproportion;0.31666666666666665
0:06:09;sysmon;lights-1-failure;True
0:06:18;sysmon;lights-1-failure;True
0:06:30;sysmon;lights-1-failure;True
0:06:38;sysmon;lights-2-failure;True
0:06:51;sysmon;lights-2-failure;True
0:06:04;sysmon;scales-1-failure;True
0:06:16;sysmon;scales-4-failure;True
0:06:28;sysmon;scales-3-failure;True
0:06:38;sysmon;scales-1-failure;True
0:06:50;sysmon;scales-2-failure;True
0:06:19;communications;radioprompt;other
0:06:45;communications;radioprompt;own
0:06:00;resman;tank-a-lossperminute;820
0:06:00;resman;tank-b-lossperminute;820

# Block n° 8. Technical load = 78.9 %
0:07:00;track;targetproportion;0.21111111111111103
0:07:05;sysmon;lights-2-failure;True
0:07:16;sysmon;lights-1-failure;True
0:07:30;sysmon;lights-1-failure;True
0:07:39;sysmon;lights-2-failure;True
0:07:51;sysmon;lights-1-failure;True
0:07:02;sysmon;scales-4-failure;True
0:07:11;sysmon;scales-2-failure;True
0:07:25;sysmon;scales-2-failure;True
0:07:37;sysmon;scales-1-failure;True
0:07:52;sysmon;scales-3-failure;True
0:07:03;communications;radioprompt;other
0:07:23;communications;radioprompt;own
0:07:42;communications;radioprompt;other
0:07:00;resman;tank-a-lossperminute;946
0:07:00;resman;tank-b-lossperminute;946

# Block n° 9. Technical load = 89.4 %
0:08:00;track;targetproportion;0.10555555555555551
0:08:02;sysmon;lights-2-failure;True
0:08:12;sysmon;lights-2-failure;True
0:08:20;sysmon;lights-1-failure;True
0:08:29;sysmon;lights-1-failure;True
0:08:40;sysmon;lights-1-failure;True
0:08:50;sysmon;lights-2-failure;True
0:08:01;sysmon;scales-1-failure;True
0:08:17;sysmon;scales-4-failure;True
0:08:25;sysmon;scales-3-failure;True
0:08:34;sysmon;scales-4-failure;True
0:08:43;sysmon;scales-1-failure;True
0:08:52;sysmon;scales-2-failure;True
0:08:02;communications;radioprompt;own
0:08:23;communications;radioprompt;other
0:08:42;communications;radioprompt;own
0:08:00;resman;tank-a-lossperminute;1073
0:08:00;resman;tank-b-lossperminute;1073

# Block n° 10. Technical load = 100.0 %
0:09:00;track;targetproportion;0.0
0:09:00;sysmon;lights-1-failure;True
0:09:08;sysmon;lights-1-failure;True
0:09:17;sysmon;lights-2-failure;True
0:09:26;sysmon;lights-1-failure;True
0:09:34;sysmon;lights-1-failure;True
0:09:42;sysmon;lights-2-failure;True
0:09:50;sysmon;lights-2-failure;True
0:09:00;sysmon;scales-2-failure;True
0:09:08;sysmon;scales-1-failure;True
0:09:16;sysmon;scales-4-failure;True
0:09:24;sysmon;scales-3-failure;True
0:09:33;sysmon;scales-1-failure;True
0:09:42;sysmon;scales-2-failure;True
0:09:50;sysmon;scales-4-failure;True
0:09:00;communications;radioprompt;own
0:09:16;communications;radioprompt;own
0:09:31;communications;radioprompt;other
0:09:46;communications;radioprompt;other
0:09:00;resman;tank-a-lossperminute;1200
0:09:00;resman;tank-b-lossperminute;1200
0:10:00;communications;stop
0:10:00;resman;stop
0:10:00;track;stop
0:10:00;sysmon;stop
